#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T17:00:00Z,123,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T17:30:00Z,123,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T18:00:00Z,123.5,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T18:30:00Z,121.5,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T19:00:00Z,123,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T19:30:00Z,123,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T20:00:00Z,123,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T20:30:00Z,111,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T21:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T21:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T22:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T22:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T23:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-26T23:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T00:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T00:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T01:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T01:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T02:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T02:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T03:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T03:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T04:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T04:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T05:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T05:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T06:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T06:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T07:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T07:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T08:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T08:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T09:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T09:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T10:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T10:30:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T11:00:00Z,0,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T11:30:00Z,121.5,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T12:00:00Z,115,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T12:30:00Z,123,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T13:00:00Z,112.4,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T13:30:00Z,120,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T14:00:00Z,123,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T14:30:00Z,123,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T15:00:00Z,100.8,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T15:30:00Z,101.5,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T16:00:00Z,83,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T16:30:00Z,98,power,6Cl-S8
,,0,2025-05-26T16:36:26.544607978Z,2025-06-25T16:36:26.544607978Z,2025-05-27T17:00:00Z,102.5,power,6Cl-S8
