#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T02:13:45Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T02:14:05Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T02:14:15Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T02:28:45Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T02:28:55Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T02:29:05Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T02:43:45Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T02:44:00Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T02:44:10Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T02:58:55Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T02:59:05Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T02:59:10Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T03:13:50Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T03:13:55Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T03:28:50Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T03:29:15Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T03:43:45Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T03:44:10Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T03:58:55Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T03:59:10Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T04:13:45Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T04:14:05Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T04:28:55Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T04:29:10Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T04:44:05Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T04:44:10Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T04:58:45Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T04:59:05Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T04:59:10Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T05:13:45Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T05:13:55Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T05:28:55Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T05:29:00Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T05:43:55Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T05:44:05Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T05:44:10Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T05:58:45Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T05:58:55Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T05:59:00Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T06:14:00Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T06:14:10Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T06:14:15Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T06:29:00Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T06:29:10Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T06:29:15Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T06:43:50Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T06:44:10Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T06:58:45Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T06:58:50Z,0,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T07:14:00Z,76,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T07:14:15Z,76,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T07:28:50Z,76,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T07:43:45Z,79,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T07:43:50Z,79,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T07:43:55Z,79,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T07:59:00Z,78,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T07:59:10Z,78,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T08:13:45Z,76,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T08:13:55Z,76,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T08:28:45Z,77,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T08:28:50Z,77,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T08:29:05Z,77,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T08:43:45Z,72,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T08:43:50Z,72,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T08:58:45Z,73,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T08:58:55Z,73,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T08:59:10Z,73,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T09:13:55Z,75,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T09:14:00Z,75,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T09:28:50Z,77,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T09:29:00Z,77,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T09:44:00Z,83,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T09:44:10Z,83,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T09:58:50Z,82,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T09:59:00Z,82,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T09:59:05Z,82,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T10:13:45Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T10:14:05Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T10:14:10Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T10:28:55Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T10:29:00Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T10:43:45Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T10:44:05Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T10:58:50Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T10:59:05Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T11:13:45Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T11:14:10Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T11:28:45Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T11:29:10Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T11:44:00Z,121,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T11:44:05Z,121,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T11:58:45Z,115,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T11:58:55Z,115,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T12:13:45Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T12:14:05Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T12:28:55Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T12:29:05Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T12:43:45Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T12:44:15Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T12:58:50Z,119,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T12:58:55Z,119,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T13:13:55Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T13:14:00Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T13:14:10Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T13:28:45Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T13:29:05Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T13:43:45Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T13:44:05Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T13:59:00Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T13:59:05Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T14:13:45Z,121,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T14:14:10Z,121,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T14:28:55Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T14:29:00Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T14:29:05Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T14:43:55Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T14:44:05Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T14:58:45Z,101,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T14:59:00Z,101,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T15:13:45Z,121,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T15:28:55Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T15:43:45Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T15:43:50Z,123,power,6Cl-S8
,,0,2025-05-19T02:03:45.581188252Z,2025-06-18T02:03:45.581188252Z,2025-05-19T15:58:45Z,123,power,6Cl-S8
