gap_index,gap_start_time,gap_end_time,gap_duration_minutes,missing_records_count,power_before,power_after,power_change,power_change_ratio,flag
868,2025-06-05 16:00,2025-06-05 17:30,90.0,5,118.0,114.0,4.0,0.034,1
870,2025-06-05 17:45,2025-06-05 18:45,60.0,3,123.0,77.0,46.0,0.374,1
872,2025-06-05 19:00,2025-06-05 19:45,45.0,2,99.0,84.0,15.0,0.152,1
2114,2025-06-18 18:30,2025-06-18 19:30,60.0,3,79.0,81.0,2.0,0.025,1
2118,2025-06-18 20:30,2025-06-18 22:45,135.0,8,76.0,0.0,76.0,1.0,1
2125,2025-06-19 00:45,2025-06-19 01:30,45.0,2,0.0,0.0,0.0,0.0,1
2126,2025-06-19 01:30,2025-06-19 03:30,120.0,7,0.0,0.0,0.0,0.0,1
2129,2025-06-19 04:00,2025-06-19 05:00,60.0,3,0.0,0.0,0.0,0.0,1
2130,2025-06-19 05:00,2025-06-19 05:45,45.0,2,0.0,124.0,124.0,124.0,1
2134,2025-06-19 07:00,2025-06-19 08:45,105.0,6,76.0,124.0,48.0,0.632,1
2137,2025-06-19 09:30,2025-06-19 10:15,45.0,2,105.0,117.0,12.0,0.114,1
2141,2025-06-19 11:30,2025-06-19 14:15,165.0,10,121.0,123.0,2.0,0.017,1
2694,2025-06-25 09:15,2025-06-25 10:00,45.0,2,118.0,81.0,37.0,0.314,1
2697,2025-06-25 10:30,2025-06-25 11:45,75.0,4,81.0,104.0,23.0,0.284,1
2790,2025-06-26 12:00,2025-06-26 12:45,45.0,2,123.0,123.0,0.0,0.0,1
