#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T14:00:00Z,62,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T14:30:00Z,69,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T14:45:00Z,60,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T15:00:00Z,62,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T15:15:00Z,60,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T15:30:00Z,60,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T16:00:00Z,88,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T16:15:00Z,89,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T16:30:00Z,86,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T16:45:00Z,89,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T17:00:00Z,85,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T17:15:00Z,89,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T17:30:00Z,103,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T17:45:00Z,104,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T18:00:00Z,35,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T18:30:00Z,17,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T18:45:00Z,18,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T19:00:00Z,17,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T19:15:00Z,17,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T19:30:00Z,17,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T19:45:00Z,19,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T20:00:00Z,17,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T20:15:00Z,17,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T20:30:00Z,20,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T21:30:00Z,22,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T21:45:00Z,16,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T22:00:00Z,18,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T22:15:00Z,17,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T22:30:00Z,17,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T22:45:00Z,18,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T23:00:00Z,18,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T23:15:00Z,17,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T23:30:00Z,17,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-07T23:45:00Z,19,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-08T00:00:00Z,17,power,influxdb-JWN-D8
,,0,2025-07-07T12:46:38Z,2025-07-15T12:46:38.691Z,2025-07-08T00:15:00Z,17,power,influxdb-JWN-D8
