time,missing_time
00:00,2
00:15,1
00:30,1
00:45,1
01:00,2
01:15,2
01:45,1
02:00,2
02:15,2
02:30,3
02:45,3
03:00,2
03:15,2
03:30,3
03:45,3
04:00,2
05:00,1
05:15,1
05:30,1
05:45,3
06:00,4
06:15,3
06:30,1
07:00,1
07:15,3
07:30,4
07:45,2
08:30,1
08:45,2
09:00,2
09:15,3
09:30,4
09:45,3
10:00,3
10:15,2
10:30,1
11:00,2
11:15,3
11:30,1
12:30,2
12:45,3
13:00,3
13:15,1
13:30,3
13:45,5
14:00,3
14:15,4
14:30,2
14:45,3
15:00,2
15:15,1
15:30,3
15:45,3
16:00,1
16:15,1
16:30,2
16:45,3
17:00,1
17:15,1
17:30,1
17:45,2
18:00,1
18:15,4
18:30,4
18:45,2
19:30,1
19:45,3
20:00,2
20:15,2
20:30,2
20:45,3
21:00,2
21:15,1
21:45,1
22:00,1
22:15,1
22:30,2
22:45,1
23:15,2
23:30,2
23:45,1
