monitor_time,data_time,power_w,type,action,decision,activity_score,habit_score,confidence_score,activity_level,habit_level,confidence_level,professional_percentage,data_age_minutes,reason
2025-07-16 23:31:16,2025-07-16 22:30:17,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.11206314242190718,0.2955303798939517,0.16931456869115089,low,low,low,100.0,1.0,
2025-07-16 23:46:16,2025-07-16 22:45:11,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.13278090889634014,0.2955303798939517,0.11451611509860132,low,low,low,100.0,1.1,
2025-07-17 00:01:17,2025-07-16 22:45:11,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.13278090889634014,0.2955303798939517,0.11451611509860132,low,low,low,100.0,16.1,
2025-07-17 00:31:17,2025-07-16 23:30:33,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.13989905530340996,low,low,low,100.0,0.8,
2025-07-17 00:46:18,2025-07-16 23:45:03,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.1,low,low,low,100.0,1.3,
2025-07-17 01:01:18,2025-07-16 23:45:03,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.1,low,low,low,100.0,16.3,
2025-07-17 01:16:19,2025-07-17 00:15:29,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.15727525336801432,low,low,low,100.0,0.8,
2025-07-17 01:31:19,2025-07-17 00:30:05,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.1855557912035174,low,low,low,100.0,1.2,
2025-07-17 01:46:19,2025-07-17 00:45:15,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.22416932295912,low,low,low,100.0,1.1,
2025-07-17 02:01:19,2025-07-17 01:00:17,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.12998106875082654,low,low,low,100.0,1.0,
2025-07-17 02:16:20,2025-07-17 01:15:03,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.24250263091945917,low,low,low,100.0,1.3,
2025-07-17 02:31:20,2025-07-17 01:30:11,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.27566498034326825,low,low,low,100.0,1.2,
2025-07-17 02:46:21,2025-07-17 01:45:20,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.2374932439347527,low,low,low,100.0,1.0,
2025-07-17 03:01:21,2025-07-17 01:59:51,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.2374932439347527,low,low,low,100.0,1.5,
2025-07-17 03:16:21,2025-07-17 02:15:21,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.2884023363891124,low,low,low,100.0,1.0,
2025-07-17 03:31:21,2025-07-17 02:30:15,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.17481631137779116,low,low,low,100.0,1.1,
2025-07-17 03:46:22,2025-07-17 02:45:14,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.20356685850199074,low,low,low,100.0,1.1,
2025-07-17 04:01:22,2025-07-17 03:00:20,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.18579589918874267,low,low,low,100.0,1.1,
2025-07-17 04:16:23,2025-07-17 03:00:20,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.18579589918874267,low,low,low,100.0,16.1,
2025-07-17 04:46:24,2025-07-17 03:45:07,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.16222473623118813,low,low,low,100.0,1.3,
2025-07-17 05:01:24,2025-07-17 04:00:03,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.12526938345681304,low,low,low,100.0,1.4,
2025-07-17 05:16:24,2025-07-17 04:15:14,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.14132182651409905,low,low,low,100.0,1.2,
2025-07-17 05:31:25,2025-07-17 04:30:07,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.21769948430730718,low,low,low,100.0,1.3,
2025-07-17 05:46:25,2025-07-17 04:45:12,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.11983491948122221,low,low,low,100.0,1.2,
2025-07-17 06:01:25,2025-07-17 04:45:12,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.11983491948122221,low,low,low,100.0,16.2,
2025-07-17 06:16:26,2025-07-17 05:15:13,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.11785737887798485,low,low,low,100.0,1.2,
2025-07-17 06:31:26,2025-07-17 05:15:13,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.11785737887798485,low,low,low,100.0,16.2,
2025-07-17 06:46:27,2025-07-17 05:44:51,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.05,0.2955303798939517,0.1940935201032849,low,low,low,100.0,1.6,
2025-07-17 07:01:27,2025-07-17 06:00:06,1.0,phantom_load,Send Notification,send_notification,0.4051843108265814,0.2955303798939517,0.5775764366723083,medium,low,medium,100.0,1.3,
2025-07-17 07:16:27,2025-07-17 06:15:00,0.0,phantom_load,Send Notification,send_notification,0.39790480470620154,0.2955303798939517,0.4823997248003925,medium,low,medium,100.0,1.5,
2025-07-17 07:31:27,2025-07-17 06:29:57,0.0,phantom_load,Send Notification,send_notification,0.39790480470620154,0.2955303798939517,0.4823997248003925,medium,low,medium,100.0,1.5,
2025-07-17 07:46:28,2025-07-17 06:45:07,0.0,phantom_load,Send Notification,send_notification,0.4650885245901639,0.2955303798939517,0.437304696506023,medium,low,medium,100.0,1.4,
2025-07-17 08:01:28,2025-07-17 07:00:23,0.0,phantom_load,Send Notification,send_notification,0.46443231750531544,0.2955303798939517,0.49762000787512745,medium,low,medium,100.0,1.1,
2025-07-17 08:16:29,2025-07-17 07:15:05,1.0,phantom_load,Send Notification,send_notification,0.42523866193210796,0.2955303798939517,0.4908163386135182,medium,low,medium,100.0,1.4,
2025-07-17 08:31:29,2025-07-17 07:29:56,1.0,phantom_load,Send Notification,send_notification,0.42523866193210796,0.2955303798939517,0.4908163386135182,medium,low,medium,100.0,1.5,
2025-07-17 08:46:29,2025-07-17 07:45:08,1.0,phantom_load,Send Notification,send_notification,0.3956403984632095,0.2955303798939517,0.5561485905242077,medium,low,medium,100.0,1.4,
2025-07-17 09:01:29,2025-07-17 08:00:23,1.0,phantom_load,Send Notification,send_notification,0.46203137383881254,0.44603287559041127,0.5698920058743744,medium,medium,medium,100.0,1.1,
2025-07-17 09:16:30,2025-07-17 08:15:06,0.0,phantom_load,Send Notification,send_notification,0.45898656776263036,0.41568117277205746,0.5888987370268515,medium,medium,medium,100.0,1.4,
2025-07-17 09:31:30,2025-07-17 08:30:15,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.24,0.4966503243328474,0.48316359028938677,low,medium,medium,100.0,1.3,
2025-07-17 09:46:30,2025-07-17 08:45:14,1.0,phantom_load,Send Notification,send_notification,0.4612144612144612,0.41101630836724884,0.5718744138851799,medium,medium,medium,100.0,1.3,
2025-07-17 10:01:31,2025-07-17 09:00:31,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.1140969169402524,0.5086642605323012,0.3224681580211701,low,medium,low,100.0,1.0,
2025-07-17 10:16:31,2025-07-17 09:00:31,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.1140969169402524,0.5086642605323012,0.3224681580211701,low,medium,low,100.0,16.0,
2025-07-17 10:46:32,2025-07-17 09:45:10,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.09863218605721519,0.5228971858612854,0.2551881634717639,low,medium,low,100.0,1.4,
2025-07-17 11:01:32,2025-07-17 10:00:23,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.09884679441595869,0.5143852570049158,0.21442965350286344,low,medium,low,100.0,1.2,
2025-07-17 11:16:32,2025-07-17 10:15:03,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.09931818181818182,0.5560990470310608,0.28846269538667346,low,medium,low,100.0,1.5,
2025-07-17 11:31:33,2025-07-17 10:30:21,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.10715850258861012,0.5629899670144313,0.3933867210981181,low,medium,medium,100.0,1.2,
2025-07-17 11:46:33,2025-07-17 10:45:21,28.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.1396595560377958,0.5573673595541199,0.4054754507310222,low,medium,medium,100.0,1.2,
2025-07-17 12:01:33,2025-07-17 10:59:54,12.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.1396595560377958,0.5573673595541199,0.4054754507310222,low,medium,medium,100.0,1.7,
2025-07-17 12:16:34,2025-07-17 11:15:14,10.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.1038793103448276,0.5258447868606902,0.22877835281068323,low,medium,low,100.0,1.3,
2025-07-17 12:31:34,2025-07-17 11:29:58,12.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.1038793103448276,0.5258447868606902,0.22877835281068323,low,medium,low,100.0,1.6,
2025-07-17 12:46:35,2025-07-17 11:44:54,71.0,normal_usage,No Action,,,,,,,,,1.7,"Power 71.0W ≥ 36.9W, within normal usage range"
2025-07-17 13:01:35,2025-07-17 12:00:02,61.0,normal_usage,No Action,,,,,,,,,1.6,"Power 61.0W ≥ 36.9W, within normal usage range"
2025-07-17 13:16:35,2025-07-17 12:15:01,47.0,normal_usage,No Action,,,,,,,,,1.6,"Power 47.0W ≥ 36.9W, within normal usage range"
2025-07-17 13:31:36,2025-07-17 12:30:06,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.15955056179775284,0.4726647150931476,0.4090550366755158,low,medium,medium,100.0,1.5,
2025-07-17 13:46:36,2025-07-17 12:45:17,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.17235955056179778,0.5259496901868904,0.5569360519696028,low,medium,medium,100.0,1.3,
2025-07-17 14:01:36,2025-07-17 13:00:13,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.1616806722689076,0.48640086565517876,0.5045104565299855,low,medium,medium,100.0,1.4,
2025-07-17 14:16:37,2025-07-17 13:15:04,50.0,normal_usage,No Action,,,,,,,,,1.6,"Power 50.0W ≥ 36.9W, within normal usage range"
2025-07-17 14:31:37,2025-07-17 13:30:15,45.0,normal_usage,No Action,,,,,,,,,1.4,"Power 45.0W ≥ 36.9W, within normal usage range"
2025-07-17 14:46:37,2025-07-17 13:45:25,60.0,normal_usage,No Action,,,,,,,,,1.2,"Power 60.0W ≥ 36.9W, within normal usage range"
2025-07-17 15:01:38,2025-07-17 14:00:18,63.0,normal_usage,No Action,,,,,,,,,1.3,"Power 63.0W ≥ 36.9W, within normal usage range"
2025-07-17 15:16:38,2025-07-17 14:14:59,39.0,normal_usage,No Action,,,,,,,,,1.7,"Power 39.0W ≥ 36.9W, within normal usage range"
2025-07-17 15:31:39,2025-07-17 14:30:08,38.0,normal_usage,No Action,,,,,,,,,1.5,"Power 38.0W ≥ 36.9W, within normal usage range"
2025-07-17 15:46:39,2025-07-17 14:45:19,29.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.15909409646546008,0.5683969560002288,0.5625504710265392,low,medium,medium,100.0,1.3,
2025-07-17 16:01:39,2025-07-17 15:00:08,29.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.10546875000000001,0.557903061931459,0.3410964538391579,low,medium,medium,100.0,1.5,
2025-07-17 16:16:40,2025-07-17 15:15:13,48.0,normal_usage,No Action,,,,,,,,,1.5,"Power 48.0W ≥ 36.9W, within normal usage range"
2025-07-17 16:31:40,2025-07-17 15:30:11,65.0,normal_usage,No Action,,,,,,,,,1.5,"Power 65.0W ≥ 36.9W, within normal usage range"
2025-07-17 16:46:41,2025-07-17 15:45:05,34.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.10506644518272426,0.5452491409798966,0.35493824545795305,low,medium,medium,100.0,1.6,
2025-07-17 17:01:41,2025-07-17 16:00:06,7.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.10381839635585315,0.5405582655010888,0.16796736116223202,low,medium,low,100.0,1.6,
2025-07-17 17:16:41,2025-07-17 16:15:03,7.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.10407303370786518,0.5459282431343526,0.2813141398521698,low,medium,low,100.0,1.6,
2025-07-17 17:31:42,2025-07-17 16:30:13,7.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.2,0.4689500747998868,0.2462199006364468,low,medium,low,100.0,1.5,
2025-07-17 17:46:42,2025-07-17 16:45:19,7.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.2,0.5171627457991712,0.3013434537205497,low,medium,low,100.0,1.4,
2025-07-17 18:01:42,2025-07-17 17:00:17,33.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.244859241126071,0.501732058854778,0.31449464581241704,low,medium,low,100.0,1.4,
2025-07-17 18:16:43,2025-07-17 17:15:12,23.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.2,0.4287311626067825,0.1828299147237796,low,medium,low,100.0,1.5,
2025-07-17 18:31:43,2025-07-17 17:30:26,39.0,normal_usage,No Action,,,,,,,,,1.3,"Power 39.0W ≥ 36.9W, within normal usage range"
