row_number,data_time,power_w,type,action,decision,activity_score,habit_score,confidence_score,activity_level,habit_level,confidence_level,professional_percentage,reason
6253,2025-07-19 13:45:00,0.6666666666666666,phantom_load,Suggest Shutdown,suggest_shutdown,0.32000000000000006,0.5272663214082605,0.6007242721676573,low,medium,medium,100.0,
6254,2025-07-19 14:00:00,0.5,phantom_load,Suggest Shutdown,suggest_shutdown,0.17682242990654207,0.4923184061805968,0.5238445208710478,low,medium,medium,100.0,
6255,2025-07-19 14:15:00,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.18372294372294373,0.49590883990673396,0.6173476612081737,low,medium,medium,100.0,
6256,2025-07-19 14:30:00,0.6666666666666666,phantom_load,Suggest Shutdown,suggest_shutdown,0.18292578202071672,0.5064679146611053,0.48937186682436684,low,medium,medium,100.0,
6257,2025-07-19 14:45:00,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.32000000000000006,0.5144403541368505,0.4929158445973071,low,medium,medium,100.0,
6258,2025-07-19 15:00:00,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.27999999999999997,0.5094561420620675,0.2788625667089295,low,medium,low,100.0,
6259,2025-07-19 15:30:00,0.0,phantom_load,Send Notification,send_notification,0.5061841865761911,0.4962996620642438,0.4425736222209592,medium,medium,medium,100.0,
6260,2025-07-19 15:45:00,0.3333333333333333,phantom_load,Suggest Shutdown,suggest_shutdown,0.27999999999999997,0.5094977129807992,0.35635964918985663,low,medium,medium,100.0,
6261,2025-07-19 16:00:00,1.0,phantom_load,Delay Decision,delay_decision,0.5359448653198653,0.5076626001298912,0.31967601649047794,medium,medium,low,100.0,
6262,2025-07-19 16:15:00,1.0,phantom_load,Delay Decision,delay_decision,0.5414883966244726,0.5042002331040258,0.3091129030015408,medium,medium,low,100.0,
6263,2025-07-19 16:30:00,0.0,phantom_load,Delay Decision,delay_decision,0.5330870845990978,0.5094977129807992,0.25955765783813434,medium,medium,low,100.0,
6264,2025-07-19 16:45:00,0.25,phantom_load,Delay Decision,delay_decision,0.5321548432299877,0.5170815239706147,0.29890406635223754,medium,medium,low,100.0,
6265,2025-07-19 17:00:00,0.6666666666666666,phantom_load,Delay Decision,delay_decision,0.5391181552365762,0.45776766394922697,0.2712894913533884,medium,medium,low,100.0,
6266,2025-07-19 17:15:00,1.0,phantom_load,Delay Decision,delay_decision,0.5459658869395712,0.504205153368527,0.24478218051008635,medium,medium,low,100.0,
6267,2025-07-19 17:30:00,1.0,phantom_load,Delay Decision,delay_decision,0.540799126059322,0.49406414660998504,0.3015600326050768,medium,medium,low,100.0,
6268,2025-07-19 17:45:00,1.0,phantom_load,Delay Decision,delay_decision,0.548627801992528,0.2955303798939517,0.2838676360924395,medium,low,low,100.0,
6269,2025-07-19 18:00:00,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.3101773383553044,0.2955303798939517,0.1,low,low,low,100.0,
6270,2025-07-19 18:15:00,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.31350160113858744,0.2955303798939517,0.1,low,low,low,100.0,
6271,2025-07-19 18:30:00,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.31350160113858744,0.2955303798939517,0.1411190418255879,low,low,low,100.0,
6272,2025-07-19 18:45:00,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.31350160113858744,0.2955303798939517,0.1,low,low,low,100.0,
6273,2025-07-19 19:00:00,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.31350160113858744,0.2955303798939517,0.1,low,low,low,100.0,
6274,2025-07-19 19:15:00,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.13988964553438296,0.2955303798939517,0.1,low,low,low,100.0,
6275,2025-07-19 19:45:00,0.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.31350160113858744,0.2955303798939517,0.1,low,low,low,100.0,
6276,2025-07-19 20:00:00,0.6666666666666666,phantom_load,Suggest Shutdown,suggest_shutdown,0.31350160113858744,0.2955303798939517,0.1,low,low,low,100.0,
6277,2025-07-19 20:15:00,1.0,phantom_load,Suggest Shutdown,suggest_shutdown,0.31,0.2955303798939517,0.1,low,low,low,100.0,
